"Story","Title","Result","Date","Stability","Duration (s)"
"KiwiSaver Retirement Calculator","KiwiSaver Calculation at retirement for Self Employed and Not Employed Users","SUCCESS","2020-11-17T15:32:15.981+13:00[Pacific/Auckland]","0.0","31.53"
"KiwiSaver Retirement Calculator","KiwiSaver - Information icon","SUCCESS","2020-11-17T15:32:48.671+13:00[Pacific/Auckland]","0.0","77.76"
"KiwiSaver Retirement Calculator","KiwiSaver Calculation at retirement for Employed Users","SUCCESS","2020-11-17T15:34:06.434+13:00[Pacific/Auckland]","0.0","12.13"
