"Story","Title","Result","Date","Stability","Duration (s)"
"KiwiSaver Retirement Calculator","KiwiSaver - Information icon","SUCCESS","2020-11-16T20:20:06.086+13:00[Pacific/Auckland]","0.0","75.48"
"KiwiSaver Retirement Calculator","KiwiSaver Calculation at retirement for Employed Users","SUCCESS","2020-11-16T20:21:21.563+13:00[Pacific/Auckland]","0.0","11.39"
"KiwiSaver Retirement Calculator","KiwiSaver Calculation at retirement for Self Employed and Not Employed Users","SUCCESS","2020-11-16T20:21:33.712+13:00[Pacific/Auckland]","0.0","25.61"
