"Story","Title","Result","Date","Stability","Duration (s)"
"KiwiSaver Retirement Calculator","KiwiSaver - Information icon - UI validation using Applitools","SUCCESS","2020-11-18T15:33:47.175+13:00[Pacific/Auckland]","0.0","39.62"
"KiwiSaver Retirement Calculator","KiwiSaver - Information icon","SUCCESS","2020-11-18T15:33:47.175+13:00[Pacific/Auckland]","0.0","88.26"
"KiwiSaver Retirement Calculator","KiwiSaver Calculation at retirement for Self Employed and Not Employed Users","SUCCESS","2020-11-18T15:34:04.191+13:00[Pacific/Auckland]","0.0","29.32"
