"Story","Title","Result","Date","Stability","Duration (s)"
"KiwiSaver Retirement Calculator","KiwiSaver - Information icon - UI validation using Applitools","SUCCESS","2020-11-18T15:33:47.175+13:00[Pacific/Auckland]","0.0","39.62"
"KiwiSaver Retirement Calculator","KiwiSaver Calculation at retirement for Employed Users","FAILURE","2020-11-18T15:34:27.546+13:00[Pacific/Auckland]","0.0","9.46"
