"Story","Title","Result","Date","Stability","Duration (s)"
"KiwiSaver Retirement Calculator","KiwiSaver Calculation at retirement for Self Employed and Not Employed Users","SUCCESS","2020-11-17T14:35:27.805+13:00[Pacific/Auckland]","0.0","28.0"
"KiwiSaver Retirement Calculator","KiwiSaver - Information icon","SUCCESS","2020-11-17T14:35:55.805+13:00[Pacific/Auckland]","0.0","97.61"
"KiwiSaver Retirement Calculator","KiwiSaver Calculation at retirement for Employed Users","SUCCESS","2020-11-17T14:37:33.412+13:00[Pacific/Auckland]","0.0","11.79"
