"Story","Title","Result","Date","Stability","Duration (s)"
"KiwiSaver Retirement Calculator","KiwiSaver - Information icon","SUCCESS","2020-11-18T14:44:34.824+13:00[Pacific/Auckland]","0.0","104.11"
"KiwiSaver Retirement Calculator","KiwiSaver Calculation at retirement for Self Employed and Not Employed Users","SUCCESS","2020-11-18T14:44:57.583+13:00[Pacific/Auckland]","0.0","36.43"
